Province,Year,Quarter,All-items,Food,Shelter,Energy,Gasoline,Goods,Services,Household_ops,Clothing and footwear,Transportation,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis"
Alberta,2022,3,160.5,172.4,192.9,241.79999999999998,242.4,141.5666666666667,180.46666666666667,128.26666666666668,98.10000000000001,180.46666666666667,145.46666666666667,125.2,179.0
Alberta,2022,4,161.4,176.13333333333333,196.1,234.83333333333334,225.9333333333333,142.36666666666667,181.53333333333333,128.76666666666668,99.5,177.36666666666667,147.9,122.73333333333333,181.29999999999998
Alberta,2023,1,160.76666666666665,180.33333333333334,194.16666666666666,199.53333333333333,197.23333333333335,140.66666666666666,182.26666666666665,128.29999999999998,98.0,171.20000000000002,150.76666666666665,122.83333333333333,182.96666666666667
Alberta,2023,2,164.06666666666666,182.20000000000002,201.79999999999998,232.29999999999998,219.4,145.03333333333333,184.0666666666667,127.73333333333333,99.16666666666667,177.4,153.13333333333333,124.53333333333335,185.5
Alberta,2023,3,166.26666666666668,183.46666666666667,210.80000000000004,254.63333333333333,219.4333333333333,146.96666666666667,186.5666666666667,125.86666666666667,97.66666666666667,179.73333333333335,154.53333333333333,124.89999999999999,187.6
Alberta,2023,4,165.46666666666667,184.6,212.13333333333333,226.63333333333333,201.73333333333335,144.1,188.4,123.89999999999999,97.86666666666667,175.4333333333333,155.03333333333333,123.03333333333335,188.29999999999998
Alberta,2024,1,166.66666666666666,187.4333333333333,215.46666666666667,228.19999999999996,206.23333333333335,144.76666666666668,190.16666666666666,125.13333333333333,94.10000000000001,176.1,156.20000000000002,121.76666666666665,191.4
Alberta,2024,2,169.03333333333333,187.9666666666667,217.76666666666665,240.0,238.26666666666665,146.23333333333335,193.5,124.43333333333334,96.13333333333333,183.16666666666666,158.4,124.60000000000001,194.29999999999998
Alberta,2024,3,169.9333333333333,189.70000000000002,219.83333333333334,234.9333333333333,233.03333333333333,145.9,195.79999999999998,125.0,95.23333333333333,183.5666666666667,158.53333333333333,125.13333333333333,194.5
Alberta,2024,4,170.0,189.86666666666667,223.33333333333334,226.9333333333333,218.63333333333333,145.36666666666667,196.66666666666666,124.3,95.26666666666667,180.5666666666667,157.79999999999998,124.66666666666667,195.79999999999998
Alberta,2025,1,171.16666666666666,190.9333333333333,224.4333333333333,233.5666666666667,227.6,147.33333333333334,196.83333333333334,125.83333333333333,95.10000000000001,182.73333333333335,158.66666666666666,125.2,196.03333333333333
Alberta,2025,2,171.76666666666665,193.79999999999998,223.86666666666667,205.20000000000002,199.86666666666667,145.79999999999998,199.9,127.03333333333335,97.83333333333333,179.76666666666665,161.26666666666668,125.46666666666665,198.9333333333333
Alberta,2025,3,172.53333333333333,195.70000000000002,224.13333333333333,202.86666666666667,201.4333333333333,146.1,201.23333333333335,128.53333333333333,95.8,182.26666666666665,162.6,124.39999999999999,199.29999999999998
British Columbia,2020,1,132.43333333333334,148.96666666666667,126.73333333333333,166.4,185.36666666666667,124.53333333333335,139.03333333333333,120.0,110.56666666666666,144.33333333333334,123.06666666666666,125.60000000000001,160.33333333333334
British Columbia,2020,2,131.76666666666665,149.6,126.36666666666667,149.5,153.83333333333334,122.2,139.6,120.93333333333334,103.8,141.56666666666666,124.33333333333333,125.60000000000001,160.79999999999998
British Columbia,2020,3,132.5,149.66666666666666,126.66666666666667,162.13333333333333,176.6,123.53333333333335,139.9,121.5,104.3,143.33333333333334,125.63333333333333,126.96666666666665,160.13333333333333
British Columbia,2020,4,133.0,149.93333333333334,128.96666666666667,159.93333333333334,168.4,123.7,140.66666666666666,121.2,106.26666666666667,142.5,126.36666666666667,125.7,158.1
British Columbia,2021,1,134.20000000000002,150.9333333333333,129.66666666666666,174.0,192.23333333333335,125.89999999999999,141.16666666666666,121.03333333333335,103.93333333333334,147.9,125.89999999999999,126.3,158.86666666666667
British Columbia,2021,2,135.36666666666667,151.93333333333334,131.79999999999998,185.36666666666667,212.1,128.29999999999998,141.36666666666667,121.3,106.96666666666665,147.0666666666667,128.13333333333333,127.73333333333333,159.9
British Columbia,2021,3,136.96666666666667,153.4333333333333,133.5,192.16666666666666,225.33333333333334,130.03333333333333,142.9,121.73333333333333,106.10000000000001,149.20000000000002,129.1,131.83333333333334,161.5
British Columbia,2021,4,138.0,155.93333333333334,135.76666666666665,192.33333333333334,220.5,130.96666666666667,144.0666666666667,121.63333333333333,105.53333333333335,149.4,129.9333333333333,130.6,162.36666666666667
British Columbia,2022,1,140.93333333333334,160.03333333333333,138.9333333333333,210.1,249.06666666666663,134.66666666666666,146.23333333333332,123.23333333333333,104.86666666666667,155.33333333333334,129.29999999999998,132.70000000000002,165.53333333333333
British Columbia,2022,2,145.6,163.53333333333333,142.5,236.9333333333333,296.96666666666664,139.36666666666667,150.86666666666667,127.90000000000002,107.56666666666666,166.1,132.16666666666666,137.06666666666666,168.13333333333333
British Columbia,2022,3,147.46666666666667,167.6,143.83333333333334,228.26666666666665,277.5333333333333,140.4,153.46666666666667,129.26666666666668,104.7,167.66666666666666,133.29999999999998,140.73333333333332,173.4
British Columbia,2022,4,147.9333333333333,170.29999999999998,145.76666666666668,218.33333333333334,259.23333333333335,140.86666666666667,153.86666666666667,129.4333333333333,106.03333333333335,164.83333333333334,135.43333333333334,135.73333333333335,175.4
British Columbia,2023,1,148.96666666666667,174.83333333333334,147.5,211.36666666666667,248.86666666666667,141.9,154.86666666666667,128.33333333333334,106.60000000000001,163.16666666666666,137.0666666666667,135.83333333333334,177.76666666666665
British Columbia,2023,2,151.0,176.26666666666665,149.5,218.63333333333333,263.1666666666667,143.70000000000002,157.1,128.96666666666667,108.26666666666667,165.73333333333335,140.23333333333332,140.03333333333333,179.5666666666667
British Columbia,2023,3,152.46666666666667,178.0666666666667,151.5,222.96666666666667,272.59999999999997,143.73333333333332,159.86666666666667,128.16666666666666,105.39999999999999,167.86666666666667,141.06666666666666,145.56666666666666,180.0666666666667
British Columbia,2023,4,152.5,179.33333333333334,155.23333333333335,207.4333333333333,247.43333333333337,142.29999999999998,161.03333333333333,126.16666666666667,106.39999999999999,164.36666666666667,141.0,139.29999999999998,180.36666666666667
British Columbia,2024,1,153.13333333333333,181.63333333333333,157.23333333333335,204.83333333333334,243.23333333333335,142.5666666666667,162.0,127.06666666666666,101.73333333333333,163.66666666666666,141.9,137.29999999999998,182.76666666666665
British Columbia,2024,2,155.20000000000002,181.4333333333333,159.5,222.70000000000002,270.2,144.0,164.6,126.83333333333333,103.66666666666667,168.26666666666665,144.06666666666666,142.23333333333332,183.9
British Columbia,2024,3,156.13333333333333,183.0,160.73333333333335,210.26666666666665,247.79999999999998,143.26666666666668,166.83333333333334,128.06666666666666,101.8,167.76666666666668,144.26666666666668,144.46666666666667,185.4
British Columbia,2024,4,156.20000000000002,183.79999999999998,162.96666666666667,205.23333333333335,238.86666666666667,143.06666666666666,167.06666666666666,126.83333333333333,102.83333333333333,166.5666666666667,143.9,140.4333333333333,184.4
British Columbia,2025,1,157.13333333333333,184.96666666666667,163.6,215.63333333333333,251.4333333333333,145.1,167.20000000000002,127.8,102.10000000000001,169.63333333333333,143.96666666666667,140.93333333333334,184.46666666666667
British Columbia,2025,2,158.53333333333333,187.9,164.23333333333332,197.4333333333333,228.03333333333333,145.03333333333333,169.76666666666665,129.20000000000002,105.3,168.6,147.29999999999998,143.36666666666667,186.26666666666665
British Columbia,2025,3,158.96666666666667,189.4333333333333,164.29999999999998,198.79999999999998,229.03333333333333,145.1,170.46666666666667,129.5,103.76666666666667,168.4333333333333,148.96666666666667,144.86666666666667,186.36666666666667
Iqaluit,2020,1,132.29999999999998,,,,,,,,,,,,
Iqaluit,2020,2,131.70000000000002,,,,,,,,,,,,
Iqaluit,2020,3,130.70000000000002,,,,,,,,,,,,
Iqaluit,2020,4,130.96666666666667,,,,,,,,,,,,
Iqaluit,2021,1,132.0,,,,,,,,,,,,
Iqaluit,2021,2,133.26666666666668,,,,,,,,,,,,
Iqaluit,2021,3,133.53333333333333,,,,,,,,,,,,
Iqaluit,2021,4,134.06666666666666,,,,,,,,,,,,
Iqaluit,2022,1,135.83333333333334,,,,,,,,,,,,
Iqaluit,2022,2,138.26666666666668,,,,,,,,,,,,
Iqaluit,2022,3,140.20000000000002,,,,,,,,,,,,
Iqaluit,2022,4,139.23333333333332,,,,,,,,,,,,
Iqaluit,2023,1,140.0666666666667,,,,,,,,,,,,
Iqaluit,2023,2,142.56666666666666,,,,,,,,,,,,
Iqaluit,2023,3,142.83333333333334,,,,,,,,,,,,
Iqaluit,2023,4,141.9333333333333,,,,,,,,,,,,
Iqaluit,2024,1,143.93333333333334,,,,,,,,,,,,
Iqaluit,2024,2,143.79999999999998,,,,,,,,,,,,
Iqaluit,2024,3,144.6,,,,,,,,,,,,
Iqaluit,2024,4,143.9333333333333,,,,,,,,,,,,
Iqaluit,2025,1,144.5,,,,,,,,,,,,
Iqaluit,2025,2,145.26666666666668,,,,,,,,,,,,
Iqaluit,2025,3,145.46666666666667,,,,,,,,,,,,
Manitoba,2020,1,137.73333333333335,150.23333333333332,155.46666666666667,139.79999999999998,148.43333333333334,122.53333333333335,154.5,124.2,97.43333333333334,137.79999999999998,121.8,115.83333333333333,188.9333333333333
Manitoba,2020,2,137.0,150.86666666666667,156.4,130.26666666666665,127.76666666666667,120.83333333333333,155.0,124.66666666666667,90.39999999999999,134.63333333333333,123.10000000000001,116.5,190.13333333333333
Manitoba,2020,3,137.4333333333333,151.16666666666666,155.33333333333334,142.0,151.03333333333333,122.36666666666667,154.13333333333333,125.06666666666666,92.56666666666666,135.73333333333332,124.03333333333335,117.36666666666667,189.4
Manitoba,2020,4,138.0,151.4,157.03333333333333,144.20000000000002,150.26666666666668,123.3,154.23333333333335,124.56666666666666,93.5,135.9333333333333,124.03333333333335,118.13333333333333,189.5666666666667
Manitoba,2021,1,139.0,152.23333333333335,158.66666666666666,154.79999999999998,168.0,125.3,154.26666666666668,122.5,92.86666666666667,140.20000000000002,124.16666666666667,118.03333333333335,190.26666666666665
Manitoba,2021,2,141.33333333333334,152.6,161.93333333333334,168.23333333333332,193.26666666666665,127.86666666666667,156.23333333333332,123.33333333333333,94.43333333333334,145.03333333333333,124.86666666666667,118.89999999999999,193.0666666666667
Manitoba,2021,3,143.20000000000002,154.03333333333333,165.96666666666667,173.73333333333335,202.1,129.53333333333333,158.33333333333334,123.7,93.03333333333335,148.76666666666668,125.3,119.10000000000001,193.9333333333333
Manitoba,2021,4,144.4333333333333,155.66666666666666,166.63333333333333,180.20000000000002,210.29999999999998,131.23333333333332,159.03333333333333,124.16666666666667,94.46666666666665,151.03333333333333,125.63333333333333,120.89999999999999,195.0666666666667
Manitoba,2022,1,147.79999999999998,160.63333333333333,170.36666666666667,193.66666666666666,232.96666666666667,135.26666666666668,161.29999999999998,126.03333333333335,93.89999999999999,157.29999999999998,126.0,123.09999999999998,197.79999999999998
Manitoba,2022,2,153.4,164.63333333333335,175.5,222.83333333333334,285.73333333333335,141.1,166.5,130.26666666666668,95.43333333333334,173.16666666666666,127.86666666666667,124.86666666666667,198.23333333333335
Manitoba,2022,3,155.03333333333333,169.5666666666667,177.36666666666667,215.36666666666667,270.23333333333335,141.63333333333333,169.6,130.56666666666666,95.2,175.13333333333333,129.46666666666667,125.43333333333334,197.20000000000002
Manitoba,2022,4,156.4,174.23333333333335,179.73333333333335,211.6,259.09999999999997,142.63333333333333,171.4,132.53333333333333,95.06666666666666,172.63333333333333,131.66666666666666,125.86666666666667,198.4333333333333
Manitoba,2023,1,156.9333333333333,177.79999999999998,181.83333333333334,197.13333333333333,231.26666666666665,142.36666666666667,173.0666666666667,133.73333333333332,94.53333333333335,168.06666666666666,134.23333333333332,125.3,199.96666666666667
Manitoba,2023,2,159.0,180.23333333333335,183.76666666666665,204.36666666666667,247.13333333333333,145.20000000000002,174.16666666666666,132.83333333333334,96.23333333333333,172.33333333333334,136.86666666666665,127.93333333333334,204.73333333333335
Manitoba,2023,3,159.33333333333334,181.36666666666667,185.36666666666667,203.9333333333333,247.76666666666665,145.20000000000002,174.79999999999998,130.20000000000002,95.60000000000001,174.29999999999998,137.20000000000002,127.30000000000001,206.66666666666666
Manitoba,2023,4,159.20000000000002,182.20000000000002,187.46666666666667,193.26666666666665,227.46666666666667,143.96666666666667,176.0666666666667,129.5,95.03333333333335,169.9333333333333,137.9,128.1,206.0
Manitoba,2024,1,158.26666666666668,183.96666666666667,190.03333333333333,175.73333333333335,193.86666666666667,141.70000000000002,176.9333333333333,128.76666666666668,90.46666666666665,163.1,139.03333333333333,126.5,206.5666666666667
Manitoba,2024,2,160.6,185.4,192.76666666666665,187.76666666666665,215.13333333333333,143.1,180.29999999999998,129.03333333333333,91.89999999999999,168.26666666666665,141.56666666666666,128.53333333333333,208.4333333333333
Manitoba,2024,3,161.36666666666667,187.76666666666665,194.6,188.79999999999998,216.9,143.56666666666666,181.5,129.03333333333333,91.0,168.16666666666666,142.0666666666667,129.06666666666666,209.76666666666665
Manitoba,2024,4,160.86666666666667,187.86666666666667,196.96666666666667,178.13333333333335,197.63333333333333,142.43333333333334,181.79999999999998,127.46666666666665,92.66666666666667,164.03333333333333,141.86666666666667,128.29999999999998,209.26666666666665
Manitoba,2025,1,163.1,188.33333333333334,199.36666666666667,197.13333333333333,232.70000000000002,145.29999999999998,183.23333333333335,129.03333333333333,92.8,170.36666666666667,141.63333333333333,130.43333333333334,209.66666666666666
Manitoba,2025,2,163.93333333333334,191.33333333333334,199.86666666666667,176.70000000000002,202.29999999999998,144.26666666666668,186.4333333333333,130.66666666666666,93.53333333333335,168.43333333333334,143.66666666666666,130.9,211.4333333333333
Manitoba,2025,3,165.03333333333333,193.9333333333333,200.63333333333333,179.79999999999998,208.23333333333335,145.56666666666666,187.26666666666665,132.0,93.60000000000001,169.5,144.96666666666667,131.16666666666666,212.73333333333335
New Brunswick,2020,1,137.16666666666666,158.66666666666666,142.5,157.26666666666668,146.73333333333332,131.9,144.0,124.46666666666665,101.26666666666665,135.83333333333334,119.96666666666665,122.56666666666666,206.63333333333333
New Brunswick,2020,2,135.6,160.66666666666666,141.4333333333333,137.36666666666667,112.39999999999999,128.73333333333332,144.4,125.60000000000001,94.23333333333333,130.43333333333334,120.39999999999999,121.56666666666666,207.6
New Brunswick,2020,3,136.66666666666666,159.53333333333333,142.1,147.79999999999998,131.79999999999998,130.13333333333333,144.96666666666667,126.03333333333335,97.8,133.23333333333332,120.39999999999999,122.3,208.0
New Brunswick,2020,4,136.9,159.70000000000002,142.4333333333333,147.53333333333333,130.73333333333332,130.43333333333334,145.1,125.36666666666667,98.89999999999999,134.16666666666666,121.03333333333335,121.7,207.0666666666667
New Brunswick,2021,1,138.7,161.79999999999998,143.66666666666666,160.5,153.83333333333334,133.4,145.5,124.2,97.23333333333333,140.73333333333332,120.96666666666665,121.76666666666667,206.5
New Brunswick,2021,2,141.0666666666667,163.43333333333334,146.86666666666667,172.13333333333333,172.9333333333333,136.36666666666667,147.0666666666667,124.56666666666666,98.33333333333333,145.43333333333334,122.0,122.5,209.5
New Brunswick,2021,3,142.93333333333334,166.4,148.1,178.73333333333335,184.13333333333333,138.6,148.29999999999998,125.03333333333335,98.83333333333333,149.79999999999998,122.56666666666666,123.7,210.70000000000002
New Brunswick,2021,4,144.46666666666667,168.70000000000002,149.6,184.6,192.36666666666667,140.86666666666667,148.66666666666666,125.56666666666666,98.46666666666665,152.43333333333334,123.60000000000001,125.39999999999999,211.0666666666667
New Brunswick,2022,1,147.33333333333334,173.66666666666666,152.23333333333332,195.96666666666667,208.73333333333335,144.86666666666667,149.93333333333334,126.56666666666666,98.83333333333333,158.23333333333332,123.3,128.1,211.6
New Brunswick,2022,2,153.03333333333333,178.96666666666667,157.46666666666667,229.16666666666666,259.73333333333335,152.53333333333333,152.53333333333333,129.6,101.8,171.9333333333333,126.96666666666665,129.5,214.4333333333333
New Brunswick,2022,3,153.53333333333333,183.0666666666667,157.86666666666667,214.4333333333333,236.63333333333335,151.96666666666667,154.56666666666666,128.76666666666668,102.43333333333334,169.73333333333335,129.16666666666666,130.73333333333332,215.4
New Brunswick,2022,4,154.5666666666667,185.53333333333333,162.66666666666666,213.29999999999998,220.83333333333334,152.46666666666667,156.43333333333334,129.6,103.7,166.5666666666667,130.96666666666667,128.43333333333334,216.76666666666665
New Brunswick,2023,1,155.43333333333334,190.36666666666665,162.36666666666667,203.16666666666666,212.33333333333334,152.9333333333333,157.73333333333335,129.9,104.03333333333335,165.4333333333333,134.29999999999998,129.6,217.83333333333334
New Brunswick,2023,2,157.43333333333334,194.9333333333333,163.0666666666667,203.76666666666665,219.9,154.66666666666666,160.23333333333332,130.70000000000002,104.66666666666667,168.13333333333333,136.63333333333333,131.73333333333332,222.96666666666667
New Brunswick,2023,3,158.83333333333334,196.66666666666666,165.53333333333333,216.9333333333333,241.13333333333333,156.6,160.86666666666667,127.60000000000001,104.36666666666667,173.46666666666667,137.5,132.1,225.26666666666665
New Brunswick,2023,4,158.36666666666667,197.0666666666667,168.0,205.4333333333333,216.66666666666666,155.1,161.79999999999998,127.36666666666667,104.16666666666667,168.16666666666666,137.33333333333334,130.70000000000002,226.5
New Brunswick,2024,1,159.0666666666667,199.4333333333333,169.0,200.9,213.13333333333333,155.0,163.56666666666666,128.5,101.73333333333335,167.6,138.93333333333334,131.13333333333333,227.23333333333335
New Brunswick,2024,2,161.96666666666667,201.33333333333334,174.0666666666667,217.83333333333334,232.79999999999998,157.83333333333334,166.4333333333333,128.79999999999998,102.93333333333334,172.63333333333333,141.5,132.29999999999998,230.36666666666667
New Brunswick,2024,3,161.79999999999998,203.03333333333333,174.79999999999998,210.13333333333335,220.16666666666666,156.29999999999998,168.1,129.6,98.83333333333333,170.1,141.1,132.4,232.03333333333333
New Brunswick,2024,4,161.16666666666666,201.5,176.76666666666665,205.13333333333333,209.86666666666667,155.29999999999998,168.03333333333333,128.53333333333333,97.5,168.29999999999998,141.86666666666665,130.79999999999998,230.03333333333333
New Brunswick,2025,1,161.5666666666667,201.26666666666665,175.66666666666666,204.0,216.26666666666665,155.96666666666667,168.1,129.6,97.66666666666667,170.20000000000002,142.46666666666667,133.06666666666666,225.5333333333333
New Brunswick,2025,2,163.26666666666668,208.0666666666667,178.46666666666667,192.1,188.26666666666665,156.26666666666665,171.6,130.4,101.10000000000001,165.76666666666665,145.13333333333333,133.63333333333333,233.96666666666667
New Brunswick,2025,3,164.5,210.0666666666667,179.46666666666667,195.63333333333333,192.96666666666667,157.46666666666667,172.86666666666667,131.53333333333333,100.23333333333333,167.76666666666665,146.83333333333334,134.79999999999998,233.36666666666667
Newfoundland and Labrador,2020,1,139.83333333333334,150.06666666666666,165.76666666666668,171.5666666666667,149.83333333333334,130.6,153.73333333333332,121.3,97.93333333333334,143.86666666666667,123.43333333333334,108.93333333333334,187.16666666666666
Newfoundland and Labrador,2020,2,138.4333333333333,152.13333333333333,163.66666666666666,151.06666666666666,119.56666666666666,127.83333333333333,154.23333333333335,122.10000000000001,93.2,138.46666666666667,123.86666666666667,109.76666666666667,187.23333333333335
Newfoundland and Labrador,2020,3,139.36666666666667,150.6,165.13333333333333,162.46666666666667,138.70000000000002,129.5,154.16666666666666,122.89999999999999,94.56666666666666,140.76666666666665,125.0,110.3,187.33333333333334
Newfoundland and Labrador,2020,4,140.63333333333333,150.4,166.26666666666668,166.56666666666666,146.6,131.16666666666666,154.9333333333333,122.89999999999999,94.43333333333334,143.20000000000002,125.53333333333335,111.73333333333333,198.03333333333333
Newfoundland and Labrador,2021,1,142.33333333333334,151.56666666666666,167.1,182.13333333333333,171.20000000000002,134.5,154.46666666666667,120.73333333333333,93.06666666666668,150.33333333333334,125.06666666666666,113.43333333333334,200.36666666666667
Newfoundland and Labrador,2021,2,144.0666666666667,153.5,168.9,191.46666666666667,185.23333333333335,137.13333333333333,154.86666666666667,119.96666666666665,94.53333333333335,154.46666666666667,126.43333333333334,112.83333333333333,205.20000000000002
Newfoundland and Labrador,2021,3,145.73333333333335,155.9,170.36666666666667,201.70000000000002,198.0666666666667,139.46666666666667,155.4,119.93333333333334,94.39999999999999,158.5,127.06666666666666,112.60000000000001,209.83333333333334
Newfoundland and Labrador,2021,4,146.66666666666666,157.83333333333334,170.83333333333334,205.63333333333333,203.29999999999998,141.1,155.20000000000002,120.53333333333335,94.86666666666667,160.13333333333333,127.56666666666666,112.76666666666667,210.73333333333335
Newfoundland and Labrador,2022,1,149.66666666666666,162.83333333333334,174.53333333333333,222.13333333333333,223.29999999999998,145.5,155.70000000000002,120.33333333333333,94.03333333333335,166.03333333333333,128.73333333333332,115.53333333333335,211.46666666666667
Newfoundland and Labrador,2022,2,155.0,167.26666666666665,181.46666666666667,261.73333333333335,269.2,153.03333333333333,157.20000000000002,123.43333333333334,95.56666666666668,178.36666666666667,128.96666666666667,117.03333333333335,213.26666666666665
Newfoundland and Labrador,2022,3,155.16666666666666,171.76666666666665,180.13333333333333,237.13333333333333,237.6,151.5666666666667,159.96666666666667,124.26666666666667,94.86666666666667,175.36666666666667,128.1,118.3,214.29999999999998
Newfoundland and Labrador,2022,4,155.93333333333334,173.96666666666667,184.70000000000002,232.16666666666666,223.70000000000002,151.86666666666667,161.5666666666667,124.36666666666667,95.53333333333335,173.0,129.9,116.2,217.79999999999998
Newfoundland and Labrador,2023,1,156.76666666666668,178.76666666666665,185.63333333333333,224.20000000000002,214.1,152.73333333333332,162.26666666666665,124.73333333333333,94.93333333333334,170.63333333333333,134.63333333333333,115.96666666666665,219.66666666666666
Newfoundland and Labrador,2023,2,158.5666666666667,182.0,185.53333333333333,220.79999999999998,219.0,154.20000000000002,164.6,126.5,96.46666666666665,171.36666666666667,137.9,118.83333333333333,222.76666666666665
Newfoundland and Labrador,2023,3,160.53333333333333,183.79999999999998,191.13333333333333,240.5,238.1,156.46666666666667,166.16666666666666,124.10000000000001,93.03333333333335,176.20000000000002,139.73333333333335,121.23333333333333,225.29999999999998
Newfoundland and Labrador,2023,4,160.03333333333333,184.4,193.9,227.53333333333333,217.73333333333335,155.03333333333333,167.03333333333333,123.16666666666667,93.33333333333333,172.5,140.53333333333333,118.56666666666666,225.96666666666667
Newfoundland and Labrador,2024,1,160.76666666666668,187.1,195.6,224.26666666666665,216.86666666666667,155.53333333333333,168.0666666666667,123.3,90.03333333333335,172.23333333333335,143.23333333333332,118.5,227.6
Newfoundland and Labrador,2024,2,162.53333333333333,187.9333333333333,196.6,236.4,237.23333333333335,157.0,170.29999999999998,123.36666666666667,90.8,176.5666666666667,146.46666666666667,120.56666666666666,230.9
Newfoundland and Labrador,2024,3,162.70000000000002,190.16666666666666,197.96666666666667,231.53333333333333,223.79999999999998,156.23333333333332,171.83333333333334,123.93333333333334,88.46666666666665,174.6,145.43333333333334,120.8,232.4
Newfoundland and Labrador,2024,4,161.56666666666666,188.1,201.0666666666667,227.96666666666667,213.4,154.79999999999998,171.1,122.03333333333335,86.56666666666666,171.9333333333333,146.0,117.96666666666665,230.9
Newfoundland and Labrador,2025,1,162.36666666666667,187.4,203.63333333333335,233.66666666666666,219.79999999999998,156.13333333333335,171.1,123.5,86.43333333333334,173.86666666666667,145.06666666666666,118.39999999999999,227.0
Newfoundland and Labrador,2025,2,163.63333333333333,195.1,202.36666666666667,216.63333333333333,193.66666666666666,156.29999999999998,174.03333333333333,124.8,88.83333333333333,170.36666666666667,147.66666666666666,119.39999999999999,233.96666666666667
Newfoundland and Labrador,2025,3,165.4,196.29999999999998,206.26666666666665,225.26666666666665,196.96666666666667,157.9333333333333,175.96666666666667,126.5,88.3,170.79999999999998,149.63333333333333,122.63333333333333,234.16666666666666
Nova Scotia,2020,1,138.53333333333333,156.5,152.0,160.4,137.46666666666667,132.63333333333333,145.36666666666667,121.26666666666667,101.60000000000001,134.33333333333334,124.0,120.66666666666667,205.33333333333334
Nova Scotia,2020,2,136.9,158.23333333333335,148.29999999999998,135.66666666666666,106.5,129.13333333333333,145.73333333333332,122.10000000000001,95.73333333333333,130.23333333333332,124.7,120.56666666666666,208.4333333333333
Nova Scotia,2020,3,137.6,157.29999999999998,148.5,147.66666666666666,128.36666666666667,130.4,145.79999999999998,121.93333333333334,98.33333333333333,133.5666666666667,125.56666666666666,120.13333333333333,204.66666666666666
Nova Scotia,2020,4,138.6,156.73333333333332,151.03333333333333,148.36666666666667,126.83333333333333,131.13333333333333,147.06666666666666,122.53333333333335,100.03333333333335,133.9333333333333,126.39999999999999,121.36666666666667,204.79999999999998
Nova Scotia,2021,1,140.96666666666667,158.36666666666667,154.26666666666668,168.4,156.4333333333333,134.79999999999998,148.1,122.46666666666665,96.43333333333332,141.1,125.7,122.63333333333333,206.5666666666667
Nova Scotia,2021,2,142.86666666666667,159.6,156.23333333333335,177.96666666666667,171.5666666666667,137.20000000000002,149.33333333333334,122.23333333333333,97.89999999999999,145.4,127.13333333333333,122.93333333333334,210.86666666666667
Nova Scotia,2021,3,144.4333333333333,162.06666666666666,157.76666666666665,184.03333333333333,181.70000000000002,139.20000000000002,150.43333333333334,122.5,97.06666666666666,149.26666666666668,128.70000000000002,123.36666666666667,212.20000000000002
Nova Scotia,2021,4,145.76666666666668,164.03333333333333,160.5,189.9666666666667,185.86666666666667,141.13333333333335,150.86666666666667,122.46666666666665,98.33333333333333,150.53333333333333,129.13333333333333,123.3,213.16666666666666
